"Titulo","Valor","Link"
"Playstation 3 (Desbloqueado 14mil jogos)","R$ 750","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-3-desbloqueado-14mil-jogos-819761050"
"PlayStation 4 Novo 1 Ano de garantia","R$ 2.649","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-4-novo-1-ano-de-garantia-812235080"
"PlayStation 1 fat SCPH 1001 audiophile","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-1-fat-scph-1001-audiophile-820205811"
"Playstation 2 completo c/ leitor novo","R$ 300","https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/videogames/playstation-2-completo-c-leitor-novo-820185828"
"Jogos para playstation one ps1","R$ 5","https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/videogames/jogos-para-playstation-one-ps1-819637921"
"Controle Playstation 4 com voucher fortnite","R$ 450","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/controle-playstation-4-com-voucher-fortnite-796826816"
"Metal Gear Solid para PlayStation 1 ","R$ 250","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/metal-gear-solid-para-playstation-1-820143606"
"PlayStation 5 midia física ","R$ 5.999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-midia-fisica-819176122"
"Playstation 5 midia fisica LACRADO PRONTA ENTREGA","R$ 6.999","https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/videogames/playstation-5-midia-fisica-lacrado-pronta-entrega-819372064"
"Vendo PlayStation 3","R$ 750","https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/videogames/vendo-playstation-3-819028358"
